id,actual,SVM(100),SVM(100W),SVM(500),SVM(500W),Tree(3),Tree(3W),RandForest,RandForest-Bal
0,False,False,False,False,False,False,False,False,False
1,False,True,False,False,False,False,False,True,True
2,False,False,False,False,False,False,False,True,False
3,False,False,False,False,False,False,False,True,True
4,False,False,False,False,False,True,True,False,False
5,False,False,False,False,False,False,False,False,True
6,False,False,False,False,False,False,False,True,True
7,False,True,False,False,False,True,False,False,False
8,False,False,False,False,False,False,False,True,True
9,False,True,False,False,False,False,False,True,True
10,False,True,False,False,False,False,False,False,False
11,False,False,False,False,False,True,False,False,False
12,False,False,False,False,False,True,False,False,False
13,False,False,False,False,False,True,False,False,False
14,False,False,False,False,False,False,False,False,False
15,False,False,False,False,False,False,False,False,False
16,False,False,False,False,False,False,False,False,False
17,False,False,False,False,False,False,False,False,False
18,False,False,False,False,False,False,False,False,False
19,False,True,True,True,True,True,False,True,True
20,False,True,False,True,True,False,False,False,False
21,False,False,False,False,False,False,False,False,True
22,False,False,False,False,False,False,False,False,False
23,False,False,False,False,False,False,False,False,False
24,False,False,False,False,False,False,False,False,False
25,False,False,False,False,False,False,False,False,False
26,False,False,False,False,False,False,False,False,False
27,False,False,False,False,False,False,False,False,False
28,False,False,False,False,False,False,False,False,False
29,False,False,False,False,False,False,False,False,False
30,False,False,False,False,False,False,True,False,False
31,False,False,False,False,False,True,False,False,False
32,False,False,False,False,False,False,False,False,True
33,False,True,False,False,False,False,False,False,False
34,False,False,False,False,False,False,False,False,False
35,False,False,False,False,False,False,False,False,False
36,False,True,False,False,True,False,False,True,True
37,False,True,False,True,True,True,True,True,True
38,False,True,False,True,True,True,True,True,True
39,False,False,False,False,False,True,False,False,False
40,False,False,False,False,False,True,False,True,False
41,False,False,False,False,False,True,False,True,True
42,False,True,False,False,False,True,False,True,False
43,False,False,False,False,False,False,False,False,True
44,False,True,False,False,True,True,True,False,False
45,False,True,False,False,False,True,True,False,False
46,False,True,False,False,False,False,False,False,True
47,False,True,False,False,False,False,False,False,True
48,False,True,False,True,True,False,False,True,True
49,False,False,False,False,False,False,False,True,True
50,False,True,False,False,True,True,False,False,False
51,False,True,False,False,True,False,False,True,True
52,False,False,False,False,False,False,False,False,False
53,False,False,False,False,False,False,False,False,False
54,False,True,False,True,True,True,True,True,True
55,False,True,False,True,True,True,True,True,True
56,False,False,False,False,False,False,False,False,False
57,False,False,False,False,False,False,False,False,False
58,False,False,False,False,False,False,False,False,False
59,False,False,False,False,False,False,False,False,False
60,False,True,False,True,True,True,False,False,False
61,False,True,False,False,False,True,True,True,True
62,False,False,False,False,False,True,False,False,False
63,False,True,False,False,False,False,False,False,False
64,False,False,False,False,False,True,False,False,False
65,False,True,False,False,False,True,False,True,True
66,False,False,False,False,False,True,False,False,False
67,False,False,False,False,False,False,False,False,True
68,False,True,False,False,False,True,False,False,False
69,False,False,False,False,False,False,False,False,False
70,False,True,False,False,False,False,False,False,False
71,False,False,False,False,False,False,False,True,True
72,False,False,False,False,False,False,False,False,False
73,False,True,True,True,True,False,False,True,True
74,False,False,False,False,False,False,False,False,False
75,False,False,False,False,False,False,False,False,False
76,False,True,False,False,False,False,False,False,False
77,False,True,False,False,False,False,False,True,False
78,False,True,False,False,True,False,False,False,False
79,False,True,False,False,True,False,False,False,False
80,False,True,False,False,False,False,False,False,False
81,False,True,False,False,True,False,False,True,False
82,False,False,False,False,False,False,False,False,False
83,False,True,False,False,False,False,False,False,True
84,False,True,False,True,True,False,False,False,True
85,False,True,True,True,True,False,False,False,False
86,False,True,False,False,False,False,False,True,False
87,False,True,False,True,True,False,False,False,True
88,False,True,False,False,False,False,False,False,False
89,False,True,False,False,False,True,False,False,True
90,False,True,False,False,False,False,False,False,False
91,False,True,False,False,False,False,False,False,False
92,False,True,False,True,True,False,False,False,False
93,False,True,False,True,True,True,False,True,True
94,False,True,True,True,True,True,True,False,False
95,False,False,False,False,False,False,False,True,False
96,False,False,False,False,False,True,False,True,False
97,False,True,False,False,False,False,False,True,False
98,False,False,False,False,False,True,False,True,True
99,False,True,False,False,False,False,False,True,True
100,False,False,False,False,False,False,False,True,False
101,False,False,False,False,False,True,True,True,True
102,False,False,False,False,False,False,False,False,False
103,False,False,False,False,False,False,False,False,False
104,False,False,False,False,False,False,False,True,False
105,False,False,False,False,False,False,False,False,False
106,False,True,False,False,False,False,False,True,False
107,False,True,False,False,False,True,False,True,True
108,False,False,False,False,False,True,False,False,True
109,False,False,False,False,False,True,False,False,True
110,False,True,False,True,True,True,True,False,False
111,False,True,False,False,False,True,False,False,True
112,False,False,False,False,False,False,False,False,False
113,False,True,False,True,True,True,True,True,False
114,False,True,False,True,True,True,True,True,False
115,False,True,False,False,False,True,True,False,False
116,False,False,False,False,False,False,False,False,False
117,False,False,False,False,False,False,True,False,True
118,False,False,False,False,False,True,False,False,False
119,False,False,False,False,False,True,False,True,False
120,False,False,False,False,False,True,False,False,False
121,False,False,False,False,False,False,False,False,False
122,False,True,False,False,False,False,False,True,False
123,False,True,False,False,False,True,False,False,False
124,False,False,False,False,False,True,False,True,True
125,False,False,False,False,False,False,False,False,False
126,False,True,False,False,True,False,False,True,False
127,False,False,False,False,False,True,False,True,True
128,False,False,False,False,False,False,False,False,False
129,False,False,False,False,False,False,False,False,False
130,False,False,False,False,False,False,False,False,False
131,False,False,False,False,False,False,False,False,False
132,False,False,False,False,False,False,False,False,False
133,False,True,True,True,True,False,False,True,True
134,False,True,True,True,True,False,False,True,True
135,False,False,False,False,False,True,True,True,False
136,False,False,False,False,False,True,False,False,False
137,False,False,False,False,False,False,False,False,False
138,False,False,False,False,False,True,False,False,False
139,False,True,False,False,True,True,True,False,False
140,False,True,False,False,False,False,False,False,False
141,False,False,False,False,False,True,False,False,False
142,False,False,False,False,False,False,False,False,False
143,False,False,False,False,False,False,False,False,False
144,False,True,False,True,True,True,True,False,False
145,False,True,False,False,False,False,False,True,True
146,False,True,False,False,False,False,False,True,True
147,False,True,True,True,True,False,False,False,False
148,False,False,False,False,False,False,False,False,False
149,False,True,False,False,False,True,False,False,True
150,False,True,False,False,False,False,False,True,True
151,False,False,False,False,False,False,False,True,False
152,False,False,False,False,False,False,False,False,True
153,False,True,False,False,False,False,False,False,False
154,False,False,False,False,False,False,False,True,False
155,False,True,False,False,False,False,False,False,False
156,False,True,False,False,False,False,False,False,False
157,False,True,False,False,False,False,False,False,False
158,False,True,False,True,True,False,False,True,True
159,False,False,False,False,False,True,True,False,False
160,False,True,False,False,False,False,False,False,False
161,False,False,False,False,False,False,False,False,False
162,False,False,False,False,False,True,False,False,False
163,False,False,False,False,False,False,False,False,False
164,False,True,False,False,False,True,False,False,False
165,False,False,False,False,False,False,False,True,False
166,False,True,False,False,False,True,True,True,True
167,False,False,False,False,False,False,False,False,False
168,False,True,False,False,False,False,False,False,False
169,False,True,False,False,False,False,False,True,True
170,False,True,False,False,False,False,False,False,False
171,False,False,False,False,False,False,False,False,False
172,False,True,False,False,False,False,False,False,True
173,False,True,False,False,True,True,False,True,False
174,False,True,False,False,True,True,False,True,False
175,False,False,False,False,False,True,False,False,False
176,False,False,False,False,False,False,False,False,False
177,False,False,False,False,False,False,False,False,False
178,False,False,False,False,False,False,False,False,False
179,False,False,False,False,False,False,False,False,False
180,False,True,False,False,False,False,False,False,False
181,False,True,False,False,False,False,False,False,False
182,False,False,False,False,False,False,False,False,False
183,False,False,False,False,False,False,False,False,False
184,False,True,True,True,True,True,True,False,False
185,False,True,True,True,True,True,True,False,False
186,False,True,True,True,True,True,True,True,True
187,False,False,False,False,False,True,True,False,False
188,False,False,False,False,False,True,True,False,False
189,False,False,False,False,False,False,False,False,False
190,False,False,False,False,False,False,False,False,False
191,False,True,False,True,True,True,True,True,True
192,False,True,False,True,True,False,False,False,False
193,False,False,False,False,False,False,False,False,False
194,False,True,False,False,False,True,True,False,False
195,False,True,False,False,False,True,True,False,False
196,False,False,False,False,False,True,False,False,False
197,False,True,False,True,True,True,True,False,False
198,False,True,False,True,True,False,False,False,True
199,False,False,False,False,False,False,False,False,True
200,False,True,False,True,True,True,True,True,True
201,False,True,True,True,True,False,False,True,False
202,False,False,False,False,False,False,False,False,False
203,False,False,False,False,False,False,False,False,False
204,False,True,False,True,True,False,False,False,False
205,False,True,False,False,False,True,False,False,False
206,False,True,False,False,False,True,False,False,False
207,False,True,False,False,False,False,False,True,False
208,False,False,False,False,False,False,False,False,False
209,False,True,True,True,True,True,False,True,True
210,False,True,False,True,True,True,False,True,True
211,False,False,False,False,False,False,False,False,False
212,False,False,False,False,False,False,True,False,False
213,False,False,False,False,False,True,False,True,True
214,False,True,False,True,True,True,True,False,False
215,False,True,False,True,True,True,True,False,False
216,False,True,False,True,True,True,True,False,False
217,False,False,False,False,False,True,True,False,False
218,False,False,False,False,False,True,False,False,False
219,False,True,False,False,False,True,False,False,False
220,False,False,False,False,False,False,False,False,False
221,False,True,False,False,False,False,False,False,False
222,False,False,False,False,False,False,False,False,False
223,False,True,True,True,True,False,False,True,True
224,False,False,False,False,False,True,True,False,False
225,False,True,False,False,False,False,False,False,False
226,False,True,False,False,True,True,True,True,True
227,False,False,False,False,False,False,False,False,False
228,False,True,False,False,False,True,True,False,False
229,False,True,False,False,False,True,True,False,False
230,False,False,False,False,False,False,False,False,False
231,False,True,True,True,True,True,False,True,True
232,False,True,False,False,False,True,False,True,False
233,False,True,False,False,False,False,False,False,False
234,False,True,False,False,False,False,False,True,False
235,False,False,False,False,False,True,False,True,False
