id,actual,clean,mode,smart
0,p,p,p,p
1,p,p,p,p
2,e,e,e,e
3,e,e,p,e
4,e,e,e,e
5,p,p,p,p
6,e,e,e,e
7,p,e,e,e
8,p,p,p,p
9,e,e,e,e
10,e,e,e,e
11,e,e,e,e
12,e,e,p,e
13,e,e,e,e
14,e,e,e,e
15,p,p,p,p
16,e,e,p,e
17,p,p,p,p
18,e,e,e,e
19,e,e,p,e
20,p,p,p,p
21,p,p,p,e
22,e,e,e,e
23,e,e,p,e
24,e,e,p,e
25,p,p,p,e
26,e,e,e,e
27,e,e,e,e
28,p,e,p,e
29,e,e,e,e
30,p,p,p,p
31,e,e,e,e
32,e,e,e,e
33,e,e,e,e
34,p,p,p,p
35,p,p,p,p
36,e,e,e,e
37,e,e,e,e
38,p,e,e,e
39,e,e,e,e
40,p,p,e,p
41,e,e,e,e
42,e,e,p,e
43,p,p,p,p
44,e,e,e,e
45,e,e,p,e
46,p,p,p,e
47,p,p,e,p
48,p,p,e,p
49,e,e,e,e
50,e,e,e,e
51,p,p,p,p
52,e,e,e,e
53,p,p,p,p
54,e,e,e,e
55,p,p,p,p
56,e,e,e,e
57,e,e,e,e
58,e,e,e,e
59,e,e,e,e
60,p,p,p,p
61,p,p,p,p
62,p,p,p,p
63,p,e,e,e
64,e,e,e,e
65,e,p,p,p
66,e,e,e,e
67,e,e,e,e
68,e,e,e,e
69,e,e,e,e
70,e,e,e,e
71,p,p,p,p
72,e,e,e,e
73,e,e,p,e
74,e,e,p,e
75,p,p,p,e
76,e,e,p,e
77,e,e,p,e
78,p,p,p,p
79,e,e,p,e
80,e,e,e,e
81,e,e,e,e
82,e,e,e,e
83,p,p,e,e
84,p,p,p,p
85,p,e,p,p
86,e,e,e,e
87,e,e,e,e
88,e,e,e,e
89,p,e,e,e
90,p,e,e,e
91,p,p,p,p
92,e,e,p,e
93,p,p,p,p
94,e,e,e,e
95,p,p,p,p
96,p,p,p,p
97,p,p,p,p
98,e,e,e,e
99,e,e,p,e
100,e,e,e,e
101,e,e,e,e
102,p,p,p,p
103,p,p,p,p
104,p,p,p,p
105,e,e,e,e
106,p,p,p,p
107,e,e,e,e
108,e,e,e,e
109,p,p,p,p
110,p,p,p,p
111,p,p,p,p
112,e,e,e,e
113,p,p,p,p
114,p,p,p,p
115,p,p,p,p
116,e,e,e,e
117,p,p,p,e
118,p,p,p,p
119,e,e,p,e
120,p,p,p,p
121,e,e,e,e
122,p,e,e,e
123,e,e,e,e
124,e,e,e,e
125,e,e,e,e
126,p,p,p,p
127,p,p,p,p
128,e,e,e,e
129,e,e,e,e
130,e,e,p,e
131,e,e,e,e
132,e,e,e,e
133,p,p,p,p
134,p,e,p,e
135,p,p,p,p
136,p,p,p,e
137,e,e,p,p
138,p,p,p,p
139,e,e,e,e
140,p,p,p,p
141,p,p,p,p
142,p,p,p,p
143,p,p,p,p
144,e,e,e,e
145,e,e,e,e
146,p,e,e,p
147,e,e,e,e
148,p,e,e,e
149,e,e,p,e
150,p,p,p,p
151,e,e,e,e
152,p,p,p,e
153,e,e,e,e
154,e,e,e,e
155,p,p,p,p
156,p,p,p,p
157,e,e,p,e
158,p,p,p,p
159,e,e,e,e
160,p,p,e,p
161,e,e,p,e
162,e,e,e,e
163,e,e,e,e
164,e,e,e,e
165,e,e,e,e
166,p,e,e,e
167,e,e,e,e
168,p,p,p,p
169,e,e,e,e
170,e,e,p,e
171,e,e,e,e
172,e,e,e,p
173,e,e,e,e
174,e,e,e,e
175,e,e,e,e
176,e,e,e,e
177,p,p,p,p
178,e,e,e,e
179,p,p,p,p
180,p,p,p,e
181,p,p,e,p
182,e,e,e,e
183,p,p,p,p
184,p,p,p,p
185,p,e,e,e
186,e,e,e,e
187,p,p,p,e
188,e,e,e,e
189,e,e,e,e
190,p,p,p,p
191,p,p,p,p
192,e,e,p,e
193,p,p,p,p
194,p,e,e,e
195,e,e,e,e
196,e,e,e,e
197,e,e,e,e
198,p,p,p,p
199,e,e,e,e
200,e,e,e,e
201,e,e,e,e
202,p,p,p,p
203,p,p,p,e
204,p,p,p,p
205,p,p,p,e
206,e,e,p,e
207,p,e,e,e
208,p,p,p,p
209,e,e,e,e
210,p,p,p,p
211,p,p,p,e
212,e,e,e,e
213,p,p,p,p
214,e,e,p,e
215,e,e,e,e
216,p,p,p,p
217,e,e,e,e
218,p,p,p,p
219,e,e,p,e
220,p,e,e,e
221,e,e,p,e
222,e,e,e,e
223,e,e,e,e
224,p,p,p,p
225,e,e,e,e
226,p,p,p,e
227,p,p,p,p
228,p,p,p,p
229,e,e,e,e
230,p,p,p,p
231,e,e,e,e
232,p,p,p,p
233,p,p,p,e
234,p,p,p,p
235,p,p,p,p
236,p,p,p,p
237,e,e,e,e
238,e,e,e,e
239,p,e,e,e
240,p,p,p,e
241,p,p,p,p
242,e,e,e,e
243,p,p,p,p
244,p,p,p,p
245,p,p,p,p
246,p,e,e,e
247,p,p,p,p
248,p,p,p,p
249,e,e,e,e
250,e,e,e,e
251,p,e,e,e
252,p,p,p,p
253,e,e,e,e
254,p,p,p,p
255,p,p,p,p
256,p,p,p,p
257,e,e,e,p
258,e,e,e,p
259,p,p,p,p
260,e,e,e,e
261,p,p,p,p
262,e,e,e,e
263,e,e,e,e
264,p,p,p,p
265,e,e,e,e
266,e,e,e,e
267,e,e,e,e
268,p,p,p,p
269,e,e,e,e
270,p,p,p,e
271,p,p,p,p
272,p,p,p,p
273,p,p,p,p
274,p,e,e,e
275,e,e,e,e
276,e,e,e,e
277,p,p,p,p
278,e,e,e,e
279,e,e,e,e
280,e,e,e,e
281,p,e,e,e
282,p,e,e,p
283,p,e,e,e
284,e,e,e,e
285,e,e,e,e
286,e,e,e,e
287,e,e,e,e
288,p,p,p,p
289,p,p,p,p
290,p,p,p,p
291,e,e,e,e
292,e,e,e,e
293,e,e,e,e
294,e,e,p,e
295,p,p,p,e
296,e,e,e,e
297,p,p,p,p
298,e,e,p,e
299,e,e,e,e
300,e,e,p,e
301,e,e,e,e
302,p,p,p,p
303,p,p,e,p
304,e,e,e,e
305,e,e,e,e
306,p,p,e,p
307,p,p,p,p
308,p,p,p,p
309,p,p,p,p
310,e,e,e,e
311,e,e,e,e
312,e,e,e,e
313,p,p,p,e
314,p,p,p,p
315,e,e,e,e
316,e,e,e,e
317,p,p,p,p
318,p,p,p,e
319,p,p,p,p
320,e,e,e,e
321,p,e,e,e
322,e,e,e,e
323,p,p,p,p
324,e,e,e,e
325,p,p,p,p
326,e,e,e,e
327,p,e,e,e
328,p,e,e,p
329,e,e,e,e
330,e,e,e,e
331,p,p,p,e
332,e,e,e,e
333,p,p,p,p
334,p,p,p,p
335,p,p,p,p
336,e,e,e,e
337,e,e,e,e
338,p,p,p,p
339,p,p,p,p
340,e,e,e,p
341,p,p,p,p
342,p,p,p,p
343,p,e,e,p
344,p,p,p,p
345,e,e,e,e
346,p,p,p,p
347,p,e,p,e
348,e,e,p,e
349,e,e,e,e
350,e,e,p,e
351,p,p,e,p
352,e,e,e,e
353,p,p,p,p
354,e,e,e,e
355,p,p,p,e
356,p,p,p,p
357,p,p,p,p
358,e,e,p,p
359,e,e,e,e
360,e,e,e,e
361,p,e,e,e
362,p,p,p,p
363,e,e,e,e
364,p,p,p,p
365,e,e,e,e
366,p,e,e,e
367,p,e,e,e
368,e,e,e,e
369,e,e,e,e
370,p,p,p,p
371,e,e,e,e
372,e,e,e,e
373,e,e,e,e
374,e,e,p,e
375,e,e,e,e
376,p,p,p,e
377,p,e,e,p
378,e,e,e,e
379,e,e,e,e
380,e,e,e,e
381,p,p,p,p
382,e,e,e,e
383,e,e,e,e
384,e,e,p,e
385,e,e,e,e
386,p,p,p,p
387,e,e,e,e
388,p,p,p,p
389,p,p,p,p
390,p,p,p,p
391,p,p,p,p
392,p,e,e,e
393,p,p,p,p
394,e,e,e,e
395,e,e,e,e
396,e,e,p,e
397,p,p,e,p
398,p,p,e,p
399,e,e,e,p
400,e,e,e,e
401,e,e,e,e
402,p,p,p,p
403,p,p,p,p
404,p,p,p,p
405,e,e,e,e
406,p,e,e,e
407,e,e,e,e
408,e,e,e,e
409,e,e,e,e
410,p,p,p,p
411,e,e,p,e
412,e,e,e,e
413,p,p,p,p
414,e,e,p,e
415,e,e,e,e
416,p,p,p,e
417,p,p,p,p
418,p,p,p,p
419,e,e,e,e
420,e,e,e,e
421,e,e,e,e
422,p,p,p,p
423,p,p,p,p
424,e,e,p,e
425,p,e,e,e
426,p,p,p,e
427,p,p,p,p
428,e,e,e,e
429,e,e,e,p
430,p,p,p,p
431,e,e,p,p
432,e,e,e,e
433,e,e,e,e
434,p,p,p,p
435,e,e,e,e
436,e,e,e,e
437,p,p,p,p
438,p,p,p,p
439,p,p,p,p
440,p,p,p,p
441,e,e,e,e
442,p,p,e,p
443,e,e,p,e
444,e,e,e,e
445,e,e,p,e
446,p,p,p,p
447,e,e,e,e
448,p,p,p,p
449,p,p,p,e
450,p,e,e,e
451,e,e,e,e
452,e,e,e,p
453,e,e,e,e
454,p,p,p,p
455,p,p,p,p
456,e,e,e,e
457,p,p,p,p
458,e,e,e,e
459,e,e,p,e
460,e,e,e,e
461,e,e,e,e
462,p,p,p,p
463,e,e,e,e
464,p,p,p,p
465,p,p,p,p
466,p,p,p,p
467,e,e,e,e
468,e,e,e,e
469,e,e,e,e
470,p,p,p,p
471,e,e,e,e
472,e,e,e,e
473,e,e,e,e
474,e,e,e,p
475,p,p,p,p
476,p,p,p,p
477,e,e,e,e
478,p,p,p,p
479,p,e,e,e
480,e,e,e,e
481,e,e,e,e
482,e,e,e,e
483,p,p,p,p
484,p,p,p,p
485,p,p,p,p
486,p,e,e,e
487,p,e,e,p
488,p,p,p,p
489,e,e,p,e
490,p,p,p,p
491,e,e,p,e
492,p,p,p,p
493,p,p,p,e
494,e,e,e,e
495,p,p,p,p
496,e,e,e,e
497,e,e,e,e
498,p,p,p,p
499,p,p,p,p
500,p,p,p,p
501,p,p,p,p
502,e,e,e,e
503,p,p,p,e
504,e,e,e,e
505,p,e,e,e
506,p,p,p,p
507,p,p,p,p
508,p,p,p,e
509,p,e,e,e
510,e,e,e,e
511,p,p,p,p
512,p,p,p,p
513,p,p,p,p
514,e,e,e,e
515,e,e,e,e
516,p,p,p,e
517,e,e,e,e
518,e,e,e,e
519,p,e,e,e
520,p,e,e,e
521,p,p,p,p
522,e,e,p,e
523,e,e,e,e
524,e,e,e,e
525,p,e,p,p
526,p,p,p,p
527,e,e,e,e
528,p,e,e,e
529,p,e,e,e
530,p,p,p,p
531,e,e,e,e
532,p,p,p,p
533,e,e,p,e
534,e,e,e,e
535,p,p,p,p
536,e,e,e,e
537,p,e,e,p
538,e,e,e,e
539,e,e,e,e
540,p,p,p,p
541,p,p,p,p
542,p,p,p,p
543,e,e,p,e
544,e,e,e,e
545,p,p,p,p
546,e,e,p,e
547,e,p,p,p
548,p,p,p,p
549,e,e,e,e
550,e,e,e,e
551,p,p,p,p
552,p,p,e,p
553,e,e,p,e
554,p,p,p,p
555,p,p,p,p
556,e,e,e,e
557,e,e,p,e
558,e,e,e,e
559,p,p,p,p
560,e,e,e,p
561,e,e,e,e
562,p,e,e,e
563,p,p,p,p
564,e,e,e,e
565,e,e,e,e
566,p,e,e,e
567,p,p,e,p
568,e,e,p,e
569,p,p,p,p
570,p,p,p,p
571,e,e,p,e
572,p,p,p,p
573,p,p,p,p
574,e,e,e,e
575,e,e,e,e
576,p,e,e,e
577,e,e,e,e
578,e,e,e,e
579,p,p,p,p
580,e,e,e,e
581,p,p,p,e
582,e,e,e,e
583,e,e,e,e
584,p,p,p,p
585,p,p,p,p
586,e,e,e,e
587,p,p,p,p
588,p,e,e,e
589,e,e,e,e
