id,train_or_test,length,title,author,date of writing,fuzz,CommonAuthorities,Negativity,PersonProperty,DirectAddress,OralCues
0,train,65.51724138000002,Appius and Virginia,"Bower, Richard",1559,-1,0.0198419371087385,0.04355137043164681,0.035311921980680915,0.05229527492050214,0.022364217252396158
1,train,65.51724138000002,Appius and Virginia,"Bower, Richard",1559,1,0.0198419371087385,0.04355137043164681,0.035311921980680915,0.05229527492050214,0.022364217252396158
2,train,73.539014818,Amends for Ladies,"Field, Nathan",1610,-1,0.016987323845603492,0.02895566565951327,0.05179846856022372,0.0888617206005932,0.015185637987723741
3,train,73.539014818,Amends for Ladies,"Field, Nathan",1610,1,0.016987323845603492,0.02895566565951327,0.05179846856022372,0.0888617206005932,0.015185637987723741
4,train,72.848297215,A Woman Is a Weathercock,"Field, Nathan",1609,-1,0.015512112200301619,0.03279501346406316,0.044128063467461245,0.07855220286222032,0.020541153138880542
5,train,72.848297215,A Woman Is a Weathercock,"Field, Nathan",1609,1,0.015512112200301619,0.03279501346406316,0.044128063467461245,0.07855220286222032,0.020541153138880542
6,train,67.11859356199999,Fuimus Troes,"Fisher, Jasper",1611,-1,0.019311875699580382,0.038993710685883046,0.027376988528560672,0.03418423973500842,0.007621161675974155
7,train,67.11859356199999,Fuimus Troes,"Fisher, Jasper",1611,1,0.019311875699580382,0.038993710685883046,0.027376988528560672,0.03418423973500842,0.007621161675974155
8,train,72.18608658300002,The Bloody Brother,"Fletcher, John",1617,-1,0.019930779324707465,0.03353622150186093,0.038131041884853015,0.08575008951181667,0.009070294789386668
9,train,72.18608658300002,The Bloody Brother,"Fletcher, John",1617,1,0.019930779324707465,0.03353622150186093,0.038131041884853015,0.08575008951181667,0.009070294789386668
10,train,72.69523359200001,The Elder Brother,"Fletcher, John",1625,-1,0.014071183631392434,0.027846754167700674,0.04824405818246042,0.07508572780211392,0.014425919350995898
11,train,72.69523359200001,The Elder Brother,"Fletcher, John",1625,1,0.014071183631392434,0.027846754167700674,0.04824405818246042,0.07508572780211392,0.014425919350995898
12,train,67.78359216899999,The Faithful Shepherdess,"Fletcher, John",1608,-1,0.010148175819377622,0.02938612875566914,0.02533931017874734,0.05211057154057746,0.005478769760004574
13,train,67.78359216899999,The Faithful Shepherdess,"Fletcher, John",1608,1,0.010148175819377622,0.02938612875566914,0.02533931017874734,0.05211057154057746,0.005478769760004574
14,train,74.296098249,"The Night Walker, or The Little Thief","Fletcher, John",1611,-1,0.007646893449181188,0.034242339045499504,0.035648017990442024,0.06454877706938734,0.013213382063616153
15,train,74.296098249,"The Night Walker, or The Little Thief","Fletcher, John",1611,1,0.007646893449181188,0.034242339045499504,0.035648017990442024,0.06454877706938734,0.013213382063616153
16,train,74.88484414900002,Rule a Wife and Have a Wife,"Fletcher, John",1624,-1,0.011645267248802108,0.02723200954978861,0.051060017917538246,0.08372648551587758,0.022932218575271376
17,train,74.88484414900002,Rule a Wife and Have a Wife,"Fletcher, John",1624,1,0.011645267248802108,0.02723200954978861,0.051060017917538246,0.08372648551587758,0.022932218575271376
18,train,73.25831832,Thierry and Theodoret,"Beaumont, Francis",1617,-1,0.017339653204313413,0.03797924041672159,0.038699226013027596,0.07805843882494407,0.010439791201038315
19,train,73.25831832,Thierry and Theodoret,"Beaumont, Francis",1617,1,0.017339653204313413,0.03797924041672159,0.038699226013027596,0.07805843882494407,0.010439791201038315
20,train,69.095574535,The Two Noble Kinsmen,"Shakespeare, William",1613,-1,0.015261738817524982,0.024571399506056656,0.033067100785776835,0.06104695528457262,0.00951315053711638
21,train,69.095574535,The Two Noble Kinsmen,"Shakespeare, William",1613,1,0.015261738817524982,0.024571399506056656,0.033067100785776835,0.06104695528457262,0.00951315053711638
22,test,67.366428633,The Broken Heart,"Ford, John",1630,-1,0.022988505750197646,0.03614303958822718,0.03812260537056219,0.05791826309000292,0.005555555557782184
23,test,67.366428633,The Broken Heart,"Ford, John",1630,1,0.022988505750197646,0.03614303958822718,0.03812260537056219,0.05791826309000292,0.005555555557782184
24,test,66.06879709800002,Perkin Warbeck,"Ford, John",1633,-1,0.028613306145045984,0.02854957940587507,0.05410400204044591,0.051554932458473784,0.006882487891001194
25,test,66.06879709800002,Perkin Warbeck,"Ford, John",1633,1,0.028613306145045984,0.02854957940587507,0.05410400204044591,0.051554932458473784,0.006882487891001194
26,train,70.255732324,The Fancies Chaste and Noble,"Ford, John",1635,-1,0.01738904749246579,0.033675058400776205,0.04548403841644084,0.06572800415351344,0.014534129247858981
27,train,70.255732324,The Fancies Chaste and Noble,"Ford, John",1635,1,0.01738904749246579,0.033675058400776205,0.04548403841644084,0.06572800415351344,0.014534129247858981
28,train,68.969720608,The Lady's Trial,"Ford, John",1638,-1,0.0199363732791533,0.03032873806882393,0.04065040650135382,0.058607281722570036,0.00926122304642061
29,train,68.969720608,The Lady's Trial,"Ford, John",1638,1,0.0199363732791533,0.03032873806882393,0.04065040650135382,0.058607281722570036,0.00926122304642061
30,train,70.68578104800001,The Lover's Melancholy,"Ford, John",1628,-1,0.013096827512896153,0.03210630046598618,0.040943480203390725,0.07088816835167128,0.010363023710561742
31,train,70.68578104800001,The Lover's Melancholy,"Ford, John",1628,1,0.013096827512896153,0.03210630046598618,0.040943480203390725,0.07088816835167128,0.010363023710561742
32,train,70.472425378,Love's Sacrifice,"Ford, John",1632,-1,0.019690339952925583,0.03646359250751995,0.03382699427773908,0.09121507909683398,0.014865926174396296
33,train,70.472425378,Love's Sacrifice,"Ford, John",1632,1,0.019690339952925583,0.03646359250751995,0.03382699427773908,0.09121507909683398,0.014865926174396296
34,train,73.75917511300001,'Tis Pity She's a Whore,"Ford, John",1632,-1,0.011965406942904511,0.031512853925481775,0.03933183271851268,0.0914583580099046,0.01344627414122475
35,train,73.75917511300001,'Tis Pity She's a Whore,"Ford, John",1632,1,0.011965406942904511,0.031512853925481775,0.03933183271851268,0.0914583580099046,0.01344627414122475
36,train,73.862465915,Imperiale,"Freeman, Sir Ralph",1639,-1,0.0167336559738252,0.043638749899161146,0.025756705769738583,0.0328110901521883,0.003773275364523145
37,train,73.862465915,Imperiale,"Freeman, Sir Ralph",1639,1,0.0167336559738252,0.043638749899161146,0.025756705769738583,0.0328110901521883,0.003773275364523145
38,train,65.64781519099999,Cornelia,"Garnier, Robert",1594,-1,0.017179848951844764,0.048219769276251226,0.02373640966521652,0.03734749771742789,0.006805544033722084
39,train,65.64781519099999,Cornelia,"Garnier, Robert",1594,1,0.017179848951844764,0.048219769276251226,0.02373640966521652,0.03734749771742789,0.006805544033722084
40,train,68.135975324,Antonius,"Garnier, Robert",1590,-1,0.020113191122359753,0.056508489336084926,0.027862429252279323,0.03778841968220976,0.005833696121760677
41,train,68.135975324,Antonius,"Garnier, Robert",1590,1,0.020113191122359753,0.056508489336084926,0.027862429252279323,0.03778841968220976,0.005833696121760677
42,train,71.866962824,The Most Virtuous and Godly Susanna,"Garter, Thomas",1563,-1,0.024237494914955558,0.031394875967215956,0.027816185441085755,0.0862952419624016,0.018625457503722267
43,train,71.866962824,The Most Virtuous and Godly Susanna,"Garter, Thomas",1563,1,0.024237494914955558,0.031394875967215956,0.027816185441085755,0.0862952419624016,0.018625457503722267
44,train,73.788299475,Supposes,"Ariosto, Ludovico",1566,-1,0.017494058626969056,0.02409559017690047,0.034592025350371446,0.06898600476251183,0.017758119882461218
45,train,73.788299475,Supposes,"Ariosto, Ludovico",1566,1,0.017494058626969056,0.02409559017690047,0.034592025350371446,0.06898600476251183,0.017758119882461218
46,train,68.96945580399999,Jocasta,"Dolce, Ludovico",1566,-1,0.027886105024022185,0.046850793316142086,0.03712805171722825,0.046797371653508266,0.006731128795902077
