id,train_or_test,length,Title,Author,date,lang,date-bucket,length-log,the,and,of,to,in,that,a,is,it,be
0,test,2493,"A letter sent from a banished minister of Jesus Christ unto the faithful Christian flock in England, most necessary and co[m]fortable to al such, as be burdened with persecucion or heaviness of mind for the Gospel and testimonye of Jesus.",,1554,English,1550-1599,7,0.05936622543120738,0.04051343762535098,0.03449659045326915,0.02727637384677096,0.02125952667468913,0.008824709185720016,0.011231448054552748,0.00762133975130365,0.00762133975130365,0.011231448054552748
1,test,4531,"Articles ecclesiastical to be inquired of by the churchwardens and the sworne-men within the dioces of Hereford in the first visitation of the reverend father in God, Harbart Bishop of the said dioces: this present year M. D.LXXXVI. and in the XXVIII. year of the reign of our most gracious sovereign Lady Queen Elizabeth, &c. And so hereafter, till the next visitation, & from titme to time to be presented.; Visitation articles. 1586","Church of England. Diocese of Hereford. Bishop (1586-1602 : Westfaling); Westfaling, Herbert, 1532?-1602.",1586,English,1550-1599,8,0.051202824983447366,0.03994703156036195,0.03244316927830501,0.026042816155374092,0.021408077687044804,0.010593687927609799,0.007724564113882146,0.006621054954756125,0.0024277201500772457,0.01434561906863827
2,test,2128,Articles to be answered of the sworn men in the Archdeacon of London his visitation holden the year. 1584. the 15. and 19. of January.; Visitation articles. 1585,"Church of England. Archdeaconry of London. Archdeacon (1559-1591 : Mullins); Mullins, John, d. 1591.",1585,English,1550-1599,7,0.05216165413533834,0.03618421052631579,0.03289473684210526,0.024906015037593984,0.023496240601503758,0.010338345864661654,0.004699248120300752,0.006109022556390977,0.0018796992481203006,0.020676691729323307
3,train,4264,"Articles to be enquired of in the general visitation of the right worshipful M. Robert White, Bachelour in Divinity, Archdeacon of Norfolk, anno Domini 163[3?]","Church of England. Archdeaconry of Norfolk.; White, Robert, Archdeacon of Norfolk.",1633,English,1630-1641,8,0.0675422138836773,0.0424484052532833,0.040337711069418386,0.021106941838649154,0.02673545966228893,0.009146341463414634,0.00797373358348968,0.008442776735459663,0.0011726078799249532,0.0053939962476547846
4,train,13661,"Injunctions given by the most reverend father in Christ, Edmonde by the providence of God, Archbishop of York primate of England, and Metropolitan, in his Metropoliticall visitation of the province of York, as well to the clergy, as to the laytie of the same province. Anno do. 1571.; Visitation articles. 1571","Church of England. Province of York. Archbishop (1570-1576 : Grindal); Grindal, Edmund, 1519?-1583.",1571,English,1550-1599,9,0.0739330942097943,0.05255837786399238,0.04487226410950882,0.027230803015884635,0.021521118512553984,0.013542200424566282,0.005124075836322377,0.0040992606690579015,0.0009516140838884415,0.017787863260376253
5,train,1086,"A most sweet song of an English merchant, borne at Chichester To an excellent new tune.","Deloney, Thomas, 1543?-1600, attributed name.",1640,English,1630-1641,6,0.027624309392265196,0.030386740331491715,0.017495395948434623,0.022099447513812154,0.01289134438305709,0.014732965009208104,0.03591160220994475,0.03406998158379374,0.01565377532228361,0.007366482504604052
6,train,9505,The comparation of a vyrgin and a martyr; Virginis et martyris comparatio. English,"Erasmus, Desiderius, d. 1536.; Paynell, Thomas.",1537,English,1470-1549,9,0.05691741188847975,0.039558127301420304,0.03976854287217254,0.026407154129405575,0.019253024723829563,0.015886375591793792,0.017254076801683324,0.01893740136770121,0.006628090478695423,0.011362440820620726
7,train,8692,"A right fruitful epistle, devised by the most excellent clerk Erasmns [sic], in laud and praise of matrymony, translated in to English, by Rychard Tauernour, which translation he has dedicate to the right honorable Master Thomas Cromwell most worthy counseloure to our sovereign lord king Henry the eight. Cum priuilegio regali; Matrimonii encomium. English","Erasmus, Desiderius, d. 1536.; Taverner, Richard, 1505?-1575.",1536,English,1470-1549,9,0.041647491946617585,0.024965485503911644,0.04233778186838472,0.030372756557754257,0.012195121951219513,0.014035895075931892,0.015416474919466176,0.015991716520938795,0.010009203865623562,0.01955821445006903
8,test,35139,"An exhortation to the diligent study of scripture, made by Erasmus Roterodamus. And tra[n]slated in to inglissh. An exposition in to the seventh chaptre of the first pistle to the Corinthians; Paraclesis. English","Erasmus, Desiderius, d. 1536.; Roy, William, fl. 1527-1531, attributed name.; Luther, Martin, 1483-1546. aut",1529,English,1470-1549,10,0.028344574404507814,0.05279034690799397,0.02626711061783204,0.024388855687412846,0.01844104840775207,0.02268135120521358,0.015709041236233245,0.018526423631862035,0.007683770169896696,0.018156464327385526
9,test,9536,The paraphrase of Erasm[us] Roterdame upon [the] epistle of sai[n]t Paul unto his discyple Titus lately tra[n]slated into english and first a goodly prologue; Paraphrases in Novum Testamentum. English. Selections,"Erasmus, Desiderius, d. 1536.; Cox, Leonard, fl. 1572.",1534,English,1470-1549,9,0.03166946308724832,0.04341442953020134,0.040373322147651006,0.03680788590604027,0.01552013422818792,0.0199244966442953,0.007026006711409396,0.009018456375838925,0.006711409395973154,0.022441275167785234
