id,actual,lr,knn,lda,svm_w,svm,nb,nn,rf
0,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
1,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
2,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
3,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
5,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
6,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
7,MED,MED,MED,MED,MED,MED,MED,MED,MED
8,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
9,MED,MED,MED,MED,MED,MED,LOW,MED,MED
10,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
11,MED,MED,LOW,MED,MED,MED,HIGH,MED,MED
12,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
13,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
14,MED,MED,MED,MED,MED,MED,MED,MED,MED
15,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
16,MED,MED,MED,MED,MED,MED,LOW,MED,MED
17,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
18,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
19,MED,MED,MED,MED,MED,MED,LOW,MED,MED
20,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
21,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
22,MED,MED,MED,MED,MED,MED,MED,MED,MED
23,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
24,MED,MED,MED,MED,MED,MED,LOW,MED,MED
25,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
26,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
27,HIGH,MED,MED,MED,HIGH,MED,HIGH,MED,HIGH
28,LOW,LOW,MED,MED,LOW,LOW,HIGH,LOW,LOW
29,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
30,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
31,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
32,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
33,MED,MED,MED,MED,MED,MED,LOW,MED,MED
34,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
35,MED,MED,MED,MED,MED,MED,LOW,MED,MED
36,MED,MED,LOW,MED,MED,MED,HIGH,MED,MED
37,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
38,MED,MED,MED,MED,MED,MED,LOW,MED,MED
39,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
40,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
41,MED,MED,MED,MED,MED,MED,MED,MED,MED
42,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
43,HIGH,MED,MED,MED,HIGH,MED,MED,MED,MED
44,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
45,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
46,MED,MED,MED,MED,MED,MED,LOW,MED,MED
47,HIGH,MED,MED,MED,MED,MED,HIGH,MED,MED
48,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
49,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
50,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
51,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
52,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
53,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
54,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
56,MED,MED,MED,MED,MED,MED,LOW,MED,MED
57,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
58,HIGH,MED,MED,MED,HIGH,MED,MED,MED,MED
59,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
60,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
61,MED,MED,MED,MED,MED,MED,MED,MED,MED
62,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW
63,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
64,MED,MED,MED,MED,MED,MED,LOW,MED,MED
65,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
66,HIGH,MED,MED,HIGH,HIGH,MED,HIGH,MED,HIGH
67,HIGH,MED,MED,MED,HIGH,MED,MED,MED,MED
68,MED,MED,MED,MED,MED,MED,LOW,MED,MED
69,MED,MED,MED,MED,MED,MED,HIGH,MED,MED
70,MED,MED,MED,MED,MED,MED,MED,MED,MED
71,LOW,LOW,LOW,LOW,LOW,LOW,MED,LOW,LOW
