,id_fine,id_coarse,name_fine,name_coarse,id,image
0,92,2,tulip,flowers,0,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/5.png
1,92,2,tulip,flowers,1,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/16.png
2,70,2,rose,flowers,2,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/18.png
3,70,2,rose,flowers,3,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/20.png
4,70,2,rose,flowers,4,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/29.png
5,82,2,sunflower,flowers,5,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/67.png
6,92,2,tulip,flowers,6,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/69.png
7,82,2,sunflower,flowers,7,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/76.png
8,54,2,orchid,flowers,8,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/82.png
9,92,2,tulip,flowers,9,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/123.png
10,70,2,rose,flowers,10,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/128.png
11,54,2,orchid,flowers,11,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/166.png
12,82,2,sunflower,flowers,12,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/238.png
13,70,2,rose,flowers,13,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/266.png
14,62,2,poppy,flowers,14,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/269.png
15,62,2,poppy,flowers,15,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/279.png
16,92,2,tulip,flowers,16,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/289.png
17,62,2,poppy,flowers,17,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/333.png
18,62,2,poppy,flowers,18,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/343.png
19,92,2,tulip,flowers,19,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/367.png
20,54,2,orchid,flowers,20,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/464.png
21,54,2,orchid,flowers,21,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/514.png
22,54,2,orchid,flowers,22,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/519.png
23,62,2,poppy,flowers,23,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/524.png
24,54,2,orchid,flowers,24,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/547.png
25,62,2,poppy,flowers,25,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/556.png
26,82,2,sunflower,flowers,26,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/582.png
27,82,2,sunflower,flowers,27,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/611.png
28,82,2,sunflower,flowers,28,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/629.png
29,82,2,sunflower,flowers,29,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/645.png
30,82,2,sunflower,flowers,30,https://graphics.cs.wisc.edu/Vis/BoxerExamples/cifar-100/test/images/665.png
